county,office,candidate,party,absentee,early_votes,election_day,votes,district,,
Marion,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,72,,181,253,,,
Marshall,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,89,,157,246,,,
Mills,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,41,,95,136,,,
Mitchell,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,27,,40,67,,,
Monona,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,13,,36,49,,,
Monroe,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,11,,27,38,,,
Montgomery,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,31,,47,78,,,
Muscatine,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,81,,185,266,,,
O'Brien,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,13,,50,63,,,
Osceola,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,2,,14,16,,,
Page,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,23,,46,69,,,
Palo Alto,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,21,,33,54,,,
Plymouth,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,46,,77,123,,,
Pocahontas,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,17,,44,61,,,
Polk,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,1162,,2232,3394,,,
Pottawattamie,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,212,,448,660,,,
Poweshiek,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,37,,74,111,,,
Ringgold,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,4,,22,26,,,
Sac,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,11,,54,65,,,
Scott,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,312,,734,1046,,,
Shelby,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,19,,40,59,,,
Sioux,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,30,,77,107,,,
Story,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,228,,619,847,,,
Tama,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,23,,85,108,,,
Taylor,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,7,,33,40,,,
Union,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,39,,52,91,,,
Van Buren,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,10,,35,45,,,
Wapello,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,72,,117,189,,,
Warren,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,109,,309,418,,,
Washington,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,65,,122,187,,,
Wayne,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,15,,36,51,,,
Webster,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,76,,143,219,,,
Winnebago,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,20,,60,80,,,
Winneshiek,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,50,,66,116,,,
Woodbury,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,0,,618,618,,,
Worth,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,11,,68,79,,,
Wright,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,13,,57,70,,,
Adair,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,7,,8,15,,,
Adams,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,4,,5,9,,,
Allamakee,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,25,,73,98,,,
Appanoose,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,9,,17,26,,,
Audubon,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,6,,6,12,,,
Benton,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,9,,60,69,,,
Black Hawk,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,101,,234,335,,,
Boone,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,27,,44,71,,,
Bremer,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,17,,40,57,,,
Buchanan,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,26,,44,70,,,
Buena Vista,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,16,,27,43,,,
Butler,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,12,,47,59,,,
Calhoun,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,5,,17,22,,,
Carroll,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,19,,21,40,,,
Cass,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,11,,19,30,,,
Cedar,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,15,,39,54,,,
Cerro Gordo,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,45,,59,104,,,
Cherokee,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,8,,19,27,,,
Chickasaw,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,21,,35,56,,,
Clarke,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,5,,8,13,,,
Clay,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,8,,30,38,,,
Clayton,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,100,,225,325,,,
Clinton,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,40,,67,107,,,
Crawford,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,16,,15,31,,,
Dallas,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,43,,78,121,,,
Davis,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,3,,8,11,,,
Decatur,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,2,,8,10,,,
Delaware,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,27,,79,106,,,
Des Moines,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,31,,48,79,,,
Dickinson,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,23,,28,51,,,
Dubuque,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,181,,237,418,,,
Emmet,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,9,,17,26,,,
Fayette,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,36,,77,113,,,
Floyd,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,16,,34,50,,,
Franklin,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,6,,15,21,,,
Fremont,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,10,,10,20,,,
Greene,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,7,,10,17,,,
Grundy,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,4,,20,24,,,
Guthrie,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,4,,9,13,,,
Hamilton,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,9,,24,33,,,
Hancock,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,4,,24,28,,,
Hardin,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,15,,24,39,,,
Harrison,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,12,,40,52,,,
Henry,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,27,,24,51,,,
Howard,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,24,,52,76,,,
Humboldt,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,3,,14,17,,,
Ida,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,2,,8,10,,,
Iowa,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,8,,35,43,,,
Jackson,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,49,,94,143,,,
Jasper,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,22,,53,75,,,
Jefferson,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,23,,23,46,,,
Johnson,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,105,,183,288,,,
Jones,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,14,,36,50,,,
Keokuk,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,4,,9,13,,,
Kossuth,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,15,,22,37,,,
Lee,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,21,,40,61,,,
Linn,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,233,,480,713,,,
Louisa,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,7,,11,18,,,
Lucas,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,7,,9,16,,,
Lyon,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,5,,10,15,,,
Madison,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,12,,20,32,,,
Mahaska,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,20,,22,42,,,
Marion,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,21,,45,66,,,
Marshall,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,28,,36,64,,,
Mills,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,25,,26,51,,,
Mitchell,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,14,,29,43,,,
Monona,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,5,,16,21,,,
Monroe,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,4,,4,8,,,
Montgomery,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,4,,15,19,,,
Muscatine,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,38,,53,91,,,
O'Brien,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,8,,12,20,,,
Osceola,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,3,,8,11,,,
Page,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,8,,15,23,,,
Palo Alto,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,3,,11,14,,,
Plymouth,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,16,,28,44,,,
Pocahontas,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,2,,7,9,,,
Polk,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,283,,382,665,,,
Pottawattamie,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,74,,106,180,,,
Poweshiek,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,18,,28,46,,,
Ringgold,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,2,,8,10,,,
Sac,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,9,,17,26,,,
Scott,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,104,,188,292,,,
Shelby,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,11,,10,21,,,
Sioux,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,14,,25,39,,,
Story,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,67,,202,269,,,
Tama,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,12,,34,46,,,
Taylor,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,5,,9,14,,,
Union,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,9,,11,20,,,
Van Buren,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,2,,10,12,,,
Wapello,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,28,,37,65,,,
Warren,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,32,,58,90,,,
Washington,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,15,,23,38,,,
Wayne,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,3,,5,8,,,
Webster,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,26,,42,68,,,
Winnebago,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,14,,24,38,,,
Winneshiek,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,70,,61,131,,,
Woodbury,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,0,,145,145,,,
Worth,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,7,,21,28,,,
Wright,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,12,,27,39,,,
Adair,Secretary of State,Paul D. Pate,Rep,879,,"1,383",2262,,,
Adams,Secretary of State,Paul D. Pate,Rep,581,,589,1170,,,
Allamakee,Secretary of State,Paul D. Pate,Rep,"1,374",,"2,054",3428,,,
Appanoose,Secretary of State,Paul D. Pate,Rep,"1,120",,"2,070",3190,,,
Audubon,Secretary of State,Paul D. Pate,Rep,727,,925,1652,,,
Benton,Secretary of State,Paul D. Pate,Rep,"2,007",,"5,324",7331,,,
Black Hawk,Secretary of State,Paul D. Pate,Rep,"8,080",,"15,444",23524,,,
Boone,Secretary of State,Paul D. Pate,Rep,"2,688",,"3,711",6399,,,
Bremer,Secretary of State,Paul D. Pate,Rep,"2,163",,"4,300",6463,,,
Buchanan,Secretary of State,Paul D. Pate,Rep,"1,630",,"3,096",4726,,,
Buena Vista,Secretary of State,Paul D. Pate,Rep,"1,303",,"2,660",3963,,,
Butler,Secretary of State,Paul D. Pate,Rep,"1,341",,"2,699",4040,,,
Calhoun,Secretary of State,Paul D. Pate,Rep,903,,"1,882",2785,,,
Carroll,Secretary of State,Paul D. Pate,Rep,"2,014",,"3,621",5635,,,
Cass,Secretary of State,Paul D. Pate,Rep,"1,434",,"2,543",3977,,,
Cedar,Secretary of State,Paul D. Pate,Rep,"1,564",,"3,095",4659,,,
Cerro Gordo,Secretary of State,Paul D. Pate,Rep,"3,485",,"6,123",9608,,,
Cherokee,Secretary of State,Paul D. Pate,Rep,"1,365",,"1,994",3359,,,
Chickasaw,Secretary of State,Paul D. Pate,Rep,"1,371",,"1,675",3046,,,
Clarke,Secretary of State,Paul D. Pate,Rep,798,,"1,489",2287,,,
Clay,Secretary of State,Paul D. Pate,Rep,"1,856",,"2,646",4502,,,
Clayton,Secretary of State,Paul D. Pate,Rep,"1,627",,"3,131",4758,,,
Clinton,Secretary of State,Paul D. Pate,Rep,"3,496",,"5,538",9034,,,
Crawford,Secretary of State,Paul D. Pate,Rep,"1,341",,"2,073",3414,,,
Dallas,Secretary of State,Paul D. Pate,Rep,"8,392",,"13,656",22048,,,
Davis,Secretary of State,Paul D. Pate,Rep,735,,"1,348",2083,,,
Decatur,Secretary of State,Paul D. Pate,Rep,520,,"1,329",1849,,,
Delaware,Secretary of State,Paul D. Pate,Rep,"1,765",,"3,318",5083,,,
Des Moines,Secretary of State,Paul D. Pate,Rep,"2,798",,"4,201",6999,,,
Dickinson,Secretary of State,Paul D. Pate,Rep,"2,697",,"2,929",5626,,,
Dubuque,Secretary of State,Paul D. Pate,Rep,"8,310",,"12,036",20346,,,
Emmet,Secretary of State,Paul D. Pate,Rep,640,,"1,575",2215,,,
Fayette,Secretary of State,Paul D. Pate,Rep,"1,734",,"3,122",4856,,,
Floyd,Secretary of State,Paul D. Pate,Rep,"1,246",,"2,208",3454,,,
Franklin,Secretary of State,Paul D. Pate,Rep,886,,"1,844",2730,,,
Fremont,Secretary of State,Paul D. Pate,Rep,719,,"1,268",1987,,,
Greene,Secretary of State,Paul D. Pate,Rep,975,,"1,495",2470,,,
Grundy,Secretary of State,Paul D. Pate,Rep,"1,195",,"2,748",3943,,,
Guthrie,Secretary of State,Paul D. Pate,Rep,"1,082",,"2,144",3226,,,
Hamilton,Secretary of State,Paul D. Pate,Rep,"1,377",,"2,461",3838,,,
Hancock,Secretary of State,Paul D. Pate,Rep,925,,"2,368",3293,,,
Hardin,Secretary of State,Paul D. Pate,Rep,"1,899",,"2,732",4631,,,
Harrison,Secretary of State,Paul D. Pate,Rep,"1,100",,"2,786",3886,,,
Henry,Secretary of State,Paul D. Pate,Rep,"2,099",,"2,581",4680,,,
Howard,Secretary of State,Paul D. Pate,Rep,604,,"1,431",2035,,,
Humboldt,Secretary of State,Paul D. Pate,Rep,"1,018",,"1,789",2807,,,
Ida,Secretary of State,Paul D. Pate,Rep,555,,"1,590",2145,,,
Iowa,Secretary of State,Paul D. Pate,Rep,"1,467",,"3,258",4725,,,
Jackson,Secretary of State,Paul D. Pate,Rep,"1,786",,"2,798",4584,,,
Jasper,Secretary of State,Paul D. Pate,Rep,"3,090",,"5,702",8792,,,
Jefferson,Secretary of State,Paul D. Pate,Rep,"1,309",,"1,953",3262,,,
Johnson,Secretary of State,Paul D. Pate,Rep,"7,506",,"12,410",19916,,,
Jones,Secretary of State,Paul D. Pate,Rep,"1,836",,"3,350",5186,,,
Keokuk,Secretary of State,Paul D. Pate,Rep,759,,"2,074",2833,,,
Kossuth,Secretary of State,Paul D. Pate,Rep,"1,669",,"2,986",4655,,,
Lee,Secretary of State,Paul D. Pate,Rep,"2,538",,"3,690",6228,,,
Linn,Secretary of State,Paul D. Pate,Rep,"15,006",,"31,945",46951,,,
Louisa,Secretary of State,Paul D. Pate,Rep,763,,"1,567",2330,,,
Lucas,Secretary of State,Paul D. Pate,Rep,977,,"1,410",2387,,,
Lyon,Secretary of State,Paul D. Pate,Rep,"1,314",,"2,876",4190,,,
Madison,Secretary of State,Paul D. Pate,Rep,"1,887",,"2,920",4807,,,
Mahaska,Secretary of State,Paul D. Pate,Rep,"2,727",,"3,389",6116,,,
Marion,Secretary of State,Paul D. Pate,Rep,"3,866",,"5,852",9718,,,
Marshall,Secretary of State,Paul D. Pate,Rep,"3,056",,"4,599",7655,,,
Mills,Secretary of State,Paul D. Pate,Rep,"1,789",,"2,272",4061,,,
Mitchell,Secretary of State,Paul D. Pate,Rep,902,,"1,738",2640,,,
Monona,Secretary of State,Paul D. Pate,Rep,833,,"1,554",2387,,,
Monroe,Secretary of State,Paul D. Pate,Rep,794,,"1,293",2087,,,
Montgomery,Secretary of State,Paul D. Pate,Rep,978,,"1,718",2696,,,
Muscatine,Secretary of State,Paul D. Pate,Rep,"3,088",,"4,485",7573,,,
O'Brien,Secretary of State,Paul D. Pate,Rep,"1,276",,"3,219",4495,,,
Osceola,Secretary of State,Paul D. Pate,Rep,503,,"1,387",1890,,,
Page,Secretary of State,Paul D. Pate,Rep,"1,393",,"2,504",3897,,,
Palo Alto,Secretary of State,Paul D. Pate,Rep,987,,"1,348",2335,,,
Plymouth,Secretary of State,Paul D. Pate,Rep,"3,066",,"4,660",7726,,,
Pocahontas,Secretary of State,Paul D. Pate,Rep,695,,"1,464",2159,,,
Polk,Secretary of State,Paul D. Pate,Rep,"30,259",,"54,830",85089,,,
Pottawattamie,Secretary of State,Paul D. Pate,Rep,"7,314",,"11,889",19203,,,
Poweshiek,Secretary of State,Paul D. Pate,Rep,"1,665",,"2,628",4293,,,
Ringgold,Secretary of State,Paul D. Pate,Rep,516,,"1,000",1516,,,
Sac,Secretary of State,Paul D. Pate,Rep,799,,"2,136",2935,,,
Scott,Secretary of State,Paul D. Pate,Rep,"12,789",,"19,300",32089,,,
Shelby,Secretary of State,Paul D. Pate,Rep,"1,502",,"1,965",3467,,,
Sioux,Secretary of State,Paul D. Pate,Rep,"3,814",,"8,665",12479,,,
Story,Secretary of State,Paul D. Pate,Rep,"5,700",,"11,729",17429,,,
Tama,Secretary of State,Paul D. Pate,Rep,"1,111",,"2,980",4091,,,
Taylor,Secretary of State,Paul D. Pate,Rep,523,,"1,167",1690,,,
Union,Secretary of State,Paul D. Pate,Rep,"1,333",,"1,695",3028,,,
Van Buren,Secretary of State,Paul D. Pate,Rep,512,,"1,521",2033,,,
Wapello,Secretary of State,Paul D. Pate,Rep,"2,273",,"4,246",6519,,,
Warren,Secretary of State,Paul D. Pate,Rep,"5,406",,"7,803",13209,,,
Washington,Secretary of State,Paul D. Pate,Rep,"2,157",,"3,429",5586,,,
Wayne,Secretary of State,Paul D. Pate,Rep,564,,"1,105",1669,,,
Webster,Secretary of State,Paul D. Pate,Rep,"2,579",,"5,167",7746,,,
Winnebago,Secretary of State,Paul D. Pate,Rep,755,,"2,101",2856,,,
Winneshiek,Secretary of State,Paul D. Pate,Rep,"2,385",,"2,544",4929,,,
Woodbury,Secretary of State,Paul D. Pate,Rep,"8,138",,"10,830",18968,,,
Worth,Secretary of State,Paul D. Pate,Rep,462,,"1,606",2068,,,
Wright,Secretary of State,Paul D. Pate,Rep,"1,142",,"2,023",3165,,,
Adair,Secretary of State,Deidre DeJear,Dem,427,,572,999,,,
Adams,Secretary of State,Deidre DeJear,Dem,233,,247,480,,,
Allamakee,Secretary of State,Deidre DeJear,Dem,986,,991,1977,,,
Appanoose,Secretary of State,Deidre DeJear,Dem,757,,891,1648,,,
Audubon,Secretary of State,Deidre DeJear,Dem,347,,467,814,,,
Benton,Secretary of State,Deidre DeJear,Dem,"1,210",,"2,648",3858,,,
Black Hawk,Secretary of State,Deidre DeJear,Dem,"11,810",,"16,003",27813,,,
Boone,Secretary of State,Deidre DeJear,Dem,"2,593",,"2,612",5205,,,
Bremer,Secretary of State,Deidre DeJear,Dem,"1,856",,"2,670",4526,,,
Buchanan,Secretary of State,Deidre DeJear,Dem,"1,342",,"2,067",3409,,,
Buena Vista,Secretary of State,Deidre DeJear,Dem,909,,"1,312",2221,,,
Butler,Secretary of State,Deidre DeJear,Dem,583,,"1,284",1867,,,
Calhoun,Secretary of State,Deidre DeJear,Dem,473,,831,1304,,,
Carroll,Secretary of State,Deidre DeJear,Dem,"1,269",,"1,428",2697,,,
Cass,Secretary of State,Deidre DeJear,Dem,673,,884,1557,,,
Cedar,Secretary of State,Deidre DeJear,Dem,"1,294",,"1,817",3111,,,
Cerro Gordo,Secretary of State,Deidre DeJear,Dem,"3,949",,"4,565",8514,,,
Cherokee,Secretary of State,Deidre DeJear,Dem,721,,803,1524,,,
Chickasaw,Secretary of State,Deidre DeJear,Dem,"1,050",,920,1970,,,
Clarke,Secretary of State,Deidre DeJear,Dem,520,,704,1224,,,
Clay,Secretary of State,Deidre DeJear,Dem,"1,114",,996,2110,,,
Clayton,Secretary of State,Deidre DeJear,Dem,"1,070",,"1,768",2838,,,
Clinton,Secretary of State,Deidre DeJear,Dem,"4,357",,"4,112",8469,,,
Crawford,Secretary of State,Deidre DeJear,Dem,688,,908,1596,,,
Dallas,Secretary of State,Deidre DeJear,Dem,"7,807",,"10,155",17962,,,
Davis,Secretary of State,Deidre DeJear,Dem,394,,523,917,,,
Decatur,Secretary of State,Deidre DeJear,Dem,323,,617,940,,,
Delaware,Secretary of State,Deidre DeJear,Dem,921,,"1,412",2333,,,
Des Moines,Secretary of State,Deidre DeJear,Dem,"3,779",,"3,690",7469,,,
Dickinson,Secretary of State,Deidre DeJear,Dem,"1,588",,"1,303",2891,,,
Dubuque,Secretary of State,Deidre DeJear,Dem,"10,634",,"9,269",19903,,,
Emmet,Secretary of State,Deidre DeJear,Dem,532,,806,1338,,,
Fayette,Secretary of State,Deidre DeJear,Dem,"1,202",,"1,838",3040,,,
Floyd,Secretary of State,Deidre DeJear,Dem,"1,203",,"1,409",2612,,,
Franklin,Secretary of State,Deidre DeJear,Dem,423,,781,1204,,,
Fremont,Secretary of State,Deidre DeJear,Dem,350,,517,867,,,
Greene,Secretary of State,Deidre DeJear,Dem,668,,693,1361,,,
Grundy,Secretary of State,Deidre DeJear,Dem,505,,"1,142",1647,,,
Guthrie,Secretary of State,Deidre DeJear,Dem,646,,916,1562,,,
Hamilton,Secretary of State,Deidre DeJear,Dem,"1,114",,"1,162",2276,,,
Hancock,Secretary of State,Deidre DeJear,Dem,497,,788,1285,,,
Hardin,Secretary of State,Deidre DeJear,Dem,"1,060",,"1,293",2353,,,
Harrison,Secretary of State,Deidre DeJear,Dem,583,,"1,230",1813,,,
Henry,Secretary of State,Deidre DeJear,Dem,"1,270",,"1,238",2508,,,
Howard,Secretary of State,Deidre DeJear,Dem,563,,871,1434,,,
Humboldt,Secretary of State,Deidre DeJear,Dem,473,,626,1099,,,
Ida,Secretary of State,Deidre DeJear,Dem,213,,458,671,,,
Iowa,Secretary of State,Deidre DeJear,Dem,959,,"1,648",2607,,,
Jackson,Secretary of State,Deidre DeJear,Dem,"1,618",,"1,763",3381,,,
Jasper,Secretary of State,Deidre DeJear,Dem,"3,049",,"3,514",6563,,,
Jefferson,Secretary of State,Deidre DeJear,Dem,"2,566",,931,3497,,,
Johnson,Secretary of State,Deidre DeJear,Dem,"25,620",,"19,889",45509,,,
Jones,Secretary of State,Deidre DeJear,Dem,"1,245",,"1,870",3115,,,
Keokuk,Secretary of State,Deidre DeJear,Dem,359,,737,1096,,,
Kossuth,Secretary of State,Deidre DeJear,Dem,"1,198",,"1,270",2468,,,
Lee,Secretary of State,Deidre DeJear,Dem,"3,185",,"2,768",5953,,,
Linn,Secretary of State,Deidre DeJear,Dem,"21,091",,"29,771",50862,,,
Louisa,Secretary of State,Deidre DeJear,Dem,511,,839,1350,,,
Lucas,Secretary of State,Deidre DeJear,Dem,447,,611,1058,,,
Lyon,Secretary of State,Deidre DeJear,Dem,232,,545,777,,,
Madison,Secretary of State,Deidre DeJear,Dem,"1,217",,"1,275",2492,,,
Mahaska,Secretary of State,Deidre DeJear,Dem,"1,057",,"1,068",2125,,,
Marion,Secretary of State,Deidre DeJear,Dem,"2,203",,"2,540",4743,,,
Marshall,Secretary of State,Deidre DeJear,Dem,"3,117",,"3,277",6394,,,
Mills,Secretary of State,Deidre DeJear,Dem,"1,001",,932,1933,,,
Mitchell,Secretary of State,Deidre DeJear,Dem,730,,909,1639,,,
Monona,Secretary of State,Deidre DeJear,Dem,496,,702,1198,,,
Monroe,Secretary of State,Deidre DeJear,Dem,420,,500,920,,,
Montgomery,Secretary of State,Deidre DeJear,Dem,490,,590,1080,,,
Muscatine,Secretary of State,Deidre DeJear,Dem,"3,172",,"3,624",6796,,,
O'Brien,Secretary of State,Deidre DeJear,Dem,308,,810,1118,,,
Osceola,Secretary of State,Deidre DeJear,Dem,130,,287,417,,,
Page,Secretary of State,Deidre DeJear,Dem,702,,867,1569,,,
Palo Alto,Secretary of State,Deidre DeJear,Dem,545,,703,1248,,,
Plymouth,Secretary of State,Deidre DeJear,Dem,"1,130",,"1,494",2624,,,
Pocahontas,Secretary of State,Deidre DeJear,Dem,312,,489,801,,,
Polk,Secretary of State,Deidre DeJear,Dem,"53,097",,"59,804",112901,,,
