office,county,candidate,party,votes
U.S. Senate,SIOUX,Chuck Grassley,Republican Party,9017
U.S. Senate,SIOUX,David Osterberg,Democratic Pary,880
U.S. Senate,SIOUX,Margaret Trowe,,12
U.S. Senate,SIOUX,Susan Marcus,Natural Law Party,13
U.S. Senate,SIOUX,Scattering,,1
U.S. Senate,SIOUX,Total,,9923
U.S. Senate,STORY,Chuck Grassley,Republican Party,16003
U.S. Senate,STORY,David Osterberg,Democratic Pary,8532
U.S. Senate,STORY,Margaret Trowe,,100
U.S. Senate,STORY,Susan Marcus,Natural Law Party,181
U.S. Senate,STORY,Scattering,,15
U.S. Senate,STORY,Total,,24831
U.S. Senate,TAMA,Chuck Grassley,Republican Party,4697
U.S. Senate,TAMA,David Osterberg,Democratic Pary,1689
U.S. Senate,TAMA,Margaret Trowe,,14
U.S. Senate,TAMA,Susan Marcus,Natural Law Party,43
U.S. Senate,TAMA,Scattering,,1
U.S. Senate,TAMA,Total,,6444
U.S. Senate,TAYLOR,Chuck Grassley,Republican Party,1847
U.S. Senate,TAYLOR,David Osterberg,Democratic Pary,570
U.S. Senate,TAYLOR,Margaret Trowe,,9
U.S. Senate,TAYLOR,Susan Marcus,Natural Law Party,23
U.S. Senate,TAYLOR,Scattering,,1
U.S. Senate,TAYLOR,Total,,2450
U.S. Senate,UNION,Chuck Grassley,Republican Party,3204
U.S. Senate,UNION,David Osterberg,Democratic Pary,1144
U.S. Senate,UNION,Margaret Trowe,,12
U.S. Senate,UNION,Susan Marcus,Natural Law Party,20
U.S. Senate,UNION,Scattering,,0
U.S. Senate,UNION,Total,,4380
U.S. Senate,VAN,Chuck Grassley,Republican Party,2036
U.S. Senate,VAN,David Osterberg,Democratic Pary,762
U.S. Senate,VAN,Margaret Trowe,,6
U.S. Senate,VAN,Susan Marcus,Natural Law Party,33
U.S. Senate,VAN,Scattering,,0
U.S. Senate,VAN,Total,,2837
U.S. Senate,WAPELLO,Chuck Grassley,Republican Party,7046
U.S. Senate,WAPELLO,David Osterberg,Democratic Pary,4492
U.S. Senate,WAPELLO,Margaret Trowe,,34
U.S. Senate,WAPELLO,Susan Marcus,Natural Law Party,142
U.S. Senate,WAPELLO,Scattering,,5
U.S. Senate,WAPELLO,Total,,11719
U.S. Senate,WARREN,Chuck Grassley,Republican Party,9414
U.S. Senate,WARREN,David Osterberg,Democratic Pary,4577
U.S. Senate,WARREN,Margaret Trowe,,42
U.S. Senate,WARREN,Susan Marcus,Natural Law Party,82
U.S. Senate,WARREN,Scattering,,3
U.S. Senate,WARREN,Total,,14118
U.S. Senate,WASHINGTON,Chuck Grassley,Republican Party,4946
U.S. Senate,WASHINGTON,David Osterberg,Democratic Pary,1754
U.S. Senate,WASHINGTON,Margaret Trowe,,13
U.S. Senate,WASHINGTON,Susan Marcus,Natural Law Party,71
U.S. Senate,WASHINGTON,Scattering,,1
U.S. Senate,WASHINGTON,Total,,6785
U.S. Senate,WAYNE,Chuck Grassley,Republican Party,1697
U.S. Senate,WAYNE,David Osterberg,Democratic Pary,697
U.S. Senate,WAYNE,Margaret Trowe,,2
U.S. Senate,WAYNE,Susan Marcus,Natural Law Party,0
U.S. Senate,WAYNE,Scattering,,0
U.S. Senate,WAYNE,Total,,2396
U.S. Senate,WEBSTER,Chuck Grassley,Republican Party,8638
U.S. Senate,WEBSTER,David Osterberg,Democratic Pary,3945
U.S. Senate,WEBSTER,Margaret Trowe,,24
U.S. Senate,WEBSTER,Susan Marcus,Natural Law Party,101
U.S. Senate,WEBSTER,Scattering,,3
U.S. Senate,WEBSTER,Total,,12711
U.S. Senate,WINNEBAGO,Chuck Grassley,Republican Party,3103
U.S. Senate,WINNEBAGO,David Osterberg,Democratic Pary,1001
U.S. Senate,WINNEBAGO,Margaret Trowe,,16
U.S. Senate,WINNEBAGO,Susan Marcus,Natural Law Party,24
U.S. Senate,WINNEBAGO,Scattering,,0
U.S. Senate,WINNEBAGO,Total,,4144
U.S. Senate,WINNESHIEK,Chuck Grassley,Republican Party,4967
U.S. Senate,WINNESHIEK,David Osterberg,Democratic Pary,1730
U.S. Senate,WINNESHIEK,Margaret Trowe,,23
U.S. Senate,WINNESHIEK,Susan Marcus,Natural Law Party,35
U.S. Senate,WINNESHIEK,Scattering,,0
U.S. Senate,WINNESHIEK,Total,,6755
U.S. Senate,WOODBURY,Chuck Grassley,Republican Party,18148
U.S. Senate,WOODBURY,David Osterberg,Democratic Pary,8079
U.S. Senate,WOODBURY,Margaret Trowe,,111
U.S. Senate,WOODBURY,Susan Marcus,Natural Law Party,153
U.S. Senate,WOODBURY,Scattering,,8
U.S. Senate,WOODBURY,Total,,26499
U.S. Senate,WORTH,Chuck Grassley,Republican Party,2341
U.S. Senate,WORTH,David Osterberg,Democratic Pary,841
U.S. Senate,WORTH,Margaret Trowe,,4
U.S. Senate,WORTH,Susan Marcus,Natural Law Party,37
U.S. Senate,WORTH,Scattering,,1
U.S. Senate,WORTH,Total,,3224
U.S. Senate,WRIGHT,Chuck Grassley,Republican Party,3316
U.S. Senate,WRIGHT,David Osterberg,Democratic Pary,1190
U.S. Senate,WRIGHT,Margaret Trowe,,1
U.S. Senate,WRIGHT,Susan Marcus,Natural Law Party,6
U.S. Senate,WRIGHT,Scattering,,1
U.S. Senate,WRIGHT,Total,,4514
