office,district,party,reporting_level,jurisdiction,county,county_num,votes
CONST. QUES,,NO,precinct,WASHINGTON S,BUTLER,12,59
IOWA HOUSE,21,REP,precinct,WASHINGTON S,BUTLER,12,105
IOWA HOUSE,21,SC,precinct,WASHINGTON S,BUTLER,12,0
IOWA HOUSE,14,DEM,precinct,ABS & SP BALLOTS HSE 14,CALHOUN,13,327
IOWA HOUSE,14,REP,precinct,ABS & SP BALLOTS HSE 14,CALHOUN,13,444
PRESIDENT,,DEM,precinct,ABSENTEE & SPECIAL BALLOTS,CALHOUN,13,301
PRESIDENT,,REP,precinct,ABSENTEE & SPECIAL BALLOTS,CALHOUN,13,472
PRESIDENT,,GREEN,precinct,ABSENTEE & SPECIAL BALLOTS,CALHOUN,13,16
PRESIDENT,,SC,precinct,ABSENTEE & SPECIAL BALLOTS,CALHOUN,13,11
U.S REPRESENTATIVE,5,DEM,precinct,ABSENTEE & SPECIAL BALLOTS,CALHOUN,13,203
U.S REPRESENTATIVE,5,REP,precinct,ABSENTEE & SPECIAL BALLOTS,CALHOUN,13,538
U.S REPRESENTATIVE,5,SC,precinct,ABSENTEE & SPECIAL BALLOTS,CALHOUN,13,24
CONST. QUES,,YES,precinct,ABSENTEE & SPECIAL BALLOTS,CALHOUN,13,144
CONST. QUES,,NO,precinct,ABSENTEE & SPECIAL BALLOTS,CALHOUN,13,387
PRESIDENT,,DEM,precinct,BUTLER,CALHOUN,13,189
PRESIDENT,,REP,precinct,BUTLER,CALHOUN,13,221
PRESIDENT,,GREEN,precinct,BUTLER,CALHOUN,13,4
PRESIDENT,,SC,precinct,BUTLER,CALHOUN,13,3
U.S REPRESENTATIVE,5,DEM,precinct,BUTLER,CALHOUN,13,119
U.S REPRESENTATIVE,5,REP,precinct,BUTLER,CALHOUN,13,270
U.S REPRESENTATIVE,5,SC,precinct,BUTLER,CALHOUN,13,19
CONST. QUES,,YES,precinct,BUTLER,CALHOUN,13,100
CONST. QUES,,NO,precinct,BUTLER,CALHOUN,13,171
IOWA HOUSE,14,DEM,precinct,BUTLER,CALHOUN,13,202
IOWA HOUSE,14,REP,precinct,BUTLER,CALHOUN,13,212
PRESIDENT,,DEM,precinct,CALHOUN,CALHOUN,13,23
PRESIDENT,,REP,precinct,CALHOUN,CALHOUN,13,50
PRESIDENT,,GREEN,precinct,CALHOUN,CALHOUN,13,1
PRESIDENT,,SC,precinct,CALHOUN,CALHOUN,13,1
U.S REPRESENTATIVE,5,DEM,precinct,CALHOUN,CALHOUN,13,19
U.S REPRESENTATIVE,5,REP,precinct,CALHOUN,CALHOUN,13,56
U.S REPRESENTATIVE,5,SC,precinct,CALHOUN,CALHOUN,13,1
CONST. QUES,,YES,precinct,CALHOUN,CALHOUN,13,12
CONST. QUES,,NO,precinct,CALHOUN,CALHOUN,13,48
IOWA HOUSE,14,DEM,precinct,CALHOUN,CALHOUN,13,36
IOWA HOUSE,14,REP,precinct,CALHOUN,CALHOUN,13,39
PRESIDENT,,DEM,precinct,CEDAR 1,CALHOUN,13,59
PRESIDENT,,REP,precinct,CEDAR 1,CALHOUN,13,79
PRESIDENT,,GREEN,precinct,CEDAR 1,CALHOUN,13,2
PRESIDENT,,SC,precinct,CEDAR 1,CALHOUN,13,1
U.S REPRESENTATIVE,5,DEM,precinct,CEDAR 1,CALHOUN,13,36
U.S REPRESENTATIVE,5,REP,precinct,CEDAR 1,CALHOUN,13,94
U.S REPRESENTATIVE,5,SC,precinct,CEDAR 1,CALHOUN,13,6
CONST. QUES,,YES,precinct,CEDAR 1,CALHOUN,13,33
CONST. QUES,,NO,precinct,CEDAR 1,CALHOUN,13,68
IOWA HOUSE,14,DEM,precinct,CEDAR 1,CALHOUN,13,68
IOWA HOUSE,14,REP,precinct,CEDAR 1,CALHOUN,13,72
PRESIDENT,,DEM,precinct,CEDAR 2,CALHOUN,13,8
PRESIDENT,,REP,precinct,CEDAR 2,CALHOUN,13,6
U.S REPRESENTATIVE,5,DEM,precinct,CEDAR 2,CALHOUN,13,5
U.S REPRESENTATIVE,5,REP,precinct,CEDAR 2,CALHOUN,13,9
U.S REPRESENTATIVE,5,SC,precinct,CEDAR 2,CALHOUN,13,0
CONST. QUES,,YES,precinct,CEDAR 2,CALHOUN,13,2
CONST. QUES,,NO,precinct,CEDAR 2,CALHOUN,13,11
IOWA HOUSE,14,DEM,precinct,CEDAR 2,CALHOUN,13,9
IOWA HOUSE,14,REP,precinct,CEDAR 2,CALHOUN,13,5
PRESIDENT,,DEM,precinct,CENTER,CALHOUN,13,24
PRESIDENT,,REP,precinct,CENTER,CALHOUN,13,56
PRESIDENT,,GREEN,precinct,CENTER,CALHOUN,13,2
PRESIDENT,,SC,precinct,CENTER,CALHOUN,13,2
U.S REPRESENTATIVE,5,DEM,precinct,CENTER,CALHOUN,13,14
U.S REPRESENTATIVE,5,REP,precinct,CENTER,CALHOUN,13,65
U.S REPRESENTATIVE,5,SC,precinct,CENTER,CALHOUN,13,3
CONST. QUES,,YES,precinct,CENTER,CALHOUN,13,23
CONST. QUES,,NO,precinct,CENTER,CALHOUN,13,40
IOWA HOUSE,14,DEM,precinct,CENTER,CALHOUN,13,35
IOWA HOUSE,14,REP,precinct,CENTER,CALHOUN,13,48
PRESIDENT,,DEM,precinct,ELM GROVE,CALHOUN,13,28
PRESIDENT,,REP,precinct,ELM GROVE,CALHOUN,13,45
PRESIDENT,,GREEN,precinct,ELM GROVE,CALHOUN,13,3
PRESIDENT,,SC,precinct,ELM GROVE,CALHOUN,13,0
U.S REPRESENTATIVE,5,DEM,precinct,ELM GROVE,CALHOUN,13,18
U.S REPRESENTATIVE,5,REP,precinct,ELM GROVE,CALHOUN,13,57
U.S REPRESENTATIVE,5,SC,precinct,ELM GROVE,CALHOUN,13,2
CONST. QUES,,YES,precinct,ELM GROVE,CALHOUN,13,18
CONST. QUES,,NO,precinct,ELM GROVE,CALHOUN,13,32
IOWA HOUSE,14,DEM,precinct,ELM GROVE,CALHOUN,13,34
IOWA HOUSE,14,REP,precinct,ELM GROVE,CALHOUN,13,44
PRESIDENT,,DEM,precinct,GARFIELD,CALHOUN,13,37
PRESIDENT,,REP,precinct,GARFIELD,CALHOUN,13,61
PRESIDENT,,GREEN,precinct,GARFIELD,CALHOUN,13,5
PRESIDENT,,SC,precinct,GARFIELD,CALHOUN,13,0
U.S REPRESENTATIVE,5,DEM,precinct,GARFIELD,CALHOUN,13,25
U.S REPRESENTATIVE,5,REP,precinct,GARFIELD,CALHOUN,13,73
U.S REPRESENTATIVE,5,SC,precinct,GARFIELD,CALHOUN,13,1
CONST. QUES,,YES,precinct,GARFIELD,CALHOUN,13,20
CONST. QUES,,NO,precinct,GARFIELD,CALHOUN,13,37
IOWA HOUSE,14,DEM,precinct,GARFIELD,CALHOUN,13,57
IOWA HOUSE,14,REP,precinct,GARFIELD,CALHOUN,13,45
PRESIDENT,,DEM,precinct,GREENFIELD,CALHOUN,13,56
PRESIDENT,,REP,precinct,GREENFIELD,CALHOUN,13,64
PRESIDENT,,GREEN,precinct,GREENFIELD,CALHOUN,13,1
PRESIDENT,,SC,precinct,GREENFIELD,CALHOUN,13,0
U.S REPRESENTATIVE,5,DEM,precinct,GREENFIELD,CALHOUN,13,35
U.S REPRESENTATIVE,5,REP,precinct,GREENFIELD,CALHOUN,13,78
U.S REPRESENTATIVE,5,SC,precinct,GREENFIELD,CALHOUN,13,4
CONST. QUES,,YES,precinct,GREENFIELD,CALHOUN,13,19
CONST. QUES,,NO,precinct,GREENFIELD,CALHOUN,13,63
IOWA HOUSE,14,DEM,precinct,GREENFIELD,CALHOUN,13,52
IOWA HOUSE,14,REP,precinct,GREENFIELD,CALHOUN,13,65
PRESIDENT,,DEM,precinct,JACKSON,CALHOUN,13,26
PRESIDENT,,REP,precinct,JACKSON,CALHOUN,13,54
PRESIDENT,,GREEN,precinct,JACKSON,CALHOUN,13,1
PRESIDENT,,SC,precinct,JACKSON,CALHOUN,13,1
U.S REPRESENTATIVE,5,DEM,precinct,JACKSON,CALHOUN,13,25
U.S REPRESENTATIVE,5,REP,precinct,JACKSON,CALHOUN,13,56
U.S REPRESENTATIVE,5,SC,precinct,JACKSON,CALHOUN,13,0
CONST. QUES,,YES,precinct,JACKSON,CALHOUN,13,11
CONST. QUES,,NO,precinct,JACKSON,CALHOUN,13,45
IOWA HOUSE,14,DEM,precinct,JACKSON,CALHOUN,13,32
IOWA HOUSE,14,REP,precinct,JACKSON,CALHOUN,13,47
PRESIDENT,,DEM,precinct,LAKE CITY,CALHOUN,13,349
PRESIDENT,,REP,precinct,LAKE CITY,CALHOUN,13,309
PRESIDENT,,GREEN,precinct,LAKE CITY,CALHOUN,13,4
PRESIDENT,,SC,precinct,LAKE CITY,CALHOUN,13,4
U.S REPRESENTATIVE,5,DEM,precinct,LAKE CITY,CALHOUN,13,225
U.S REPRESENTATIVE,5,REP,precinct,LAKE CITY,CALHOUN,13,406
U.S REPRESENTATIVE,5,SC,precinct,LAKE CITY,CALHOUN,13,8
CONST. QUES,,YES,precinct,LAKE CITY,CALHOUN,13,176
CONST. QUES,,NO,precinct,LAKE CITY,CALHOUN,13,266
IOWA HOUSE,14,DEM,precinct,LAKE CITY,CALHOUN,13,329
IOWA HOUSE,14,REP,precinct,LAKE CITY,CALHOUN,13,334
PRESIDENT,,DEM,precinct,LAKE CREEK,CALHOUN,13,34
PRESIDENT,,REP,precinct,LAKE CREEK,CALHOUN,13,33
PRESIDENT,,GREEN,precinct,LAKE CREEK,CALHOUN,13,2
PRESIDENT,,SC,precinct,LAKE CREEK,CALHOUN,13,0
U.S REPRESENTATIVE,5,DEM,precinct,LAKE CREEK,CALHOUN,13,14
U.S REPRESENTATIVE,5,REP,precinct,LAKE CREEK,CALHOUN,13,43
U.S REPRESENTATIVE,5,SC,precinct,LAKE CREEK,CALHOUN,13,4
CONST. QUES,,YES,precinct,LAKE CREEK,CALHOUN,13,10
CONST. QUES,,NO,precinct,LAKE CREEK,CALHOUN,13,37
IOWA HOUSE,14,DEM,precinct,LAKE CREEK,CALHOUN,13,42
IOWA HOUSE,14,REP,precinct,LAKE CREEK,CALHOUN,13,27
PRESIDENT,,DEM,precinct,LINCOLN,CALHOUN,13,340
PRESIDENT,,REP,precinct,LINCOLN,CALHOUN,13,465
PRESIDENT,,GREEN,precinct,LINCOLN,CALHOUN,13,19
PRESIDENT,,SC,precinct,LINCOLN,CALHOUN,13,4
U.S REPRESENTATIVE,5,DEM,precinct,LINCOLN,CALHOUN,13,195
U.S REPRESENTATIVE,5,REP,precinct,LINCOLN,CALHOUN,13,587
U.S REPRESENTATIVE,5,SC,precinct,LINCOLN,CALHOUN,13,20
CONST. QUES,,YES,precinct,LINCOLN,CALHOUN,13,205
CONST. QUES,,NO,precinct,LINCOLN,CALHOUN,13,332
IOWA HOUSE,14,DEM,precinct,LINCOLN,CALHOUN,13,380
IOWA HOUSE,14,REP,precinct,LINCOLN,CALHOUN,13,442
PRESIDENT,,DEM,precinct,LOGAN,CALHOUN,13,17
PRESIDENT,,REP,precinct,LOGAN,CALHOUN,13,41
PRESIDENT,,GREEN,precinct,LOGAN,CALHOUN,13,3
PRESIDENT,,SC,precinct,LOGAN,CALHOUN,13,1
U.S REPRESENTATIVE,5,DEM,precinct,LOGAN,CALHOUN,13,15
U.S REPRESENTATIVE,5,REP,precinct,LOGAN,CALHOUN,13,44
U.S REPRESENTATIVE,5,SC,precinct,LOGAN,CALHOUN,13,0
CONST. QUES,,YES,precinct,LOGAN,CALHOUN,13,16
CONST. QUES,,NO,precinct,LOGAN,CALHOUN,13,23
IOWA HOUSE,14,DEM,precinct,LOGAN,CALHOUN,13,27
IOWA HOUSE,14,REP,precinct,LOGAN,CALHOUN,13,35
PRESIDENT,,DEM,precinct,READING,CALHOUN,13,94
PRESIDENT,,REP,precinct,READING,CALHOUN,13,134
PRESIDENT,,GREEN,precinct,READING,CALHOUN,13,14
PRESIDENT,,SC,precinct,READING,CALHOUN,13,2
U.S REPRESENTATIVE,5,DEM,precinct,READING,CALHOUN,13,56
U.S REPRESENTATIVE,5,REP,precinct,READING,CALHOUN,13,169
U.S REPRESENTATIVE,5,SC,precinct,READING,CALHOUN,13,9
CONST. QUES,,YES,precinct,READING,CALHOUN,13,51
CONST. QUES,,NO,precinct,READING,CALHOUN,13,97
IOWA HOUSE,14,DEM,precinct,READING,CALHOUN,13,115
IOWA HOUSE,14,REP,precinct,READING,CALHOUN,13,125
PRESIDENT,,DEM,precinct,ROCKWELL CITY,CALHOUN,13,307
PRESIDENT,,REP,precinct,ROCKWELL CITY,CALHOUN,13,366
PRESIDENT,,GREEN,precinct,ROCKWELL CITY,CALHOUN,13,8
PRESIDENT,,SC,precinct,ROCKWELL CITY,CALHOUN,13,3
U.S REPRESENTATIVE,5,DEM,precinct,ROCKWELL CITY,CALHOUN,13,208
U.S REPRESENTATIVE,5,REP,precinct,ROCKWELL CITY,CALHOUN,13,429
U.S REPRESENTATIVE,5,SC,precinct,ROCKWELL CITY,CALHOUN,13,16
CONST. QUES,,YES,precinct,ROCKWELL CITY,CALHOUN,13,191
CONST. QUES,,NO,precinct,ROCKWELL CITY,CALHOUN,13,280
IOWA HOUSE,14,DEM,precinct,ROCKWELL CITY,CALHOUN,13,362
IOWA HOUSE,14,REP,precinct,ROCKWELL CITY,CALHOUN,13,321
PRESIDENT,,DEM,precinct,SHERMAN,CALHOUN,13,72
PRESIDENT,,REP,precinct,SHERMAN,CALHOUN,13,106
PRESIDENT,,GREEN,precinct,SHERMAN,CALHOUN,13,4
PRESIDENT,,SC,precinct,SHERMAN,CALHOUN,13,2
U.S REPRESENTATIVE,5,DEM,precinct,SHERMAN,CALHOUN,13,28
U.S REPRESENTATIVE,5,REP,precinct,SHERMAN,CALHOUN,13,139
U.S REPRESENTATIVE,5,SC,precinct,SHERMAN,CALHOUN,13,9
CONST. QUES,,YES,precinct,SHERMAN,CALHOUN,13,38
CONST. QUES,,NO,precinct,SHERMAN,CALHOUN,13,99
IOWA HOUSE,14,DEM,precinct,SHERMAN,CALHOUN,13,82
IOWA HOUSE,14,REP,precinct,SHERMAN,CALHOUN,13,101
PRESIDENT,,DEM,precinct,TWIN LAKES,CALHOUN,13,31
PRESIDENT,,REP,precinct,TWIN LAKES,CALHOUN,13,51
PRESIDENT,,GREEN,precinct,TWIN LAKES,CALHOUN,13,1
PRESIDENT,,SC,precinct,TWIN LAKES,CALHOUN,13,2
U.S REPRESENTATIVE,5,DEM,precinct,TWIN LAKES,CALHOUN,13,15
U.S REPRESENTATIVE,5,REP,precinct,TWIN LAKES,CALHOUN,13,63
U.S REPRESENTATIVE,5,SC,precinct,TWIN LAKES,CALHOUN,13,2
CONST. QUES,,YES,precinct,TWIN LAKES,CALHOUN,13,17
CONST. QUES,,NO,precinct,TWIN LAKES,CALHOUN,13,39
IOWA HOUSE,14,DEM,precinct,TWIN LAKES,CALHOUN,13,38
IOWA HOUSE,14,REP,precinct,TWIN LAKES,CALHOUN,13,47
PRESIDENT,,DEM,precinct,UNION,CALHOUN,13,110
PRESIDENT,,REP,precinct,UNION,CALHOUN,13,132
PRESIDENT,,GREEN,precinct,UNION,CALHOUN,13,3
PRESIDENT,,SC,precinct,UNION,CALHOUN,13,3
U.S REPRESENTATIVE,5,DEM,precinct,UNION,CALHOUN,13,63
U.S REPRESENTATIVE,5,REP,precinct,UNION,CALHOUN,13,171
U.S REPRESENTATIVE,5,SC,precinct,UNION,CALHOUN,13,4
CONST. QUES,,YES,precinct,UNION,CALHOUN,13,43
CONST. QUES,,NO,precinct,UNION,CALHOUN,13,111
IOWA HOUSE,14,DEM,precinct,UNION,CALHOUN,13,118
IOWA HOUSE,14,REP,precinct,UNION,CALHOUN,13,128
PRESIDENT,,DEM,precinct,WILLIAMS,CALHOUN,13,27
PRESIDENT,,REP,precinct,WILLIAMS,CALHOUN,13,31
PRESIDENT,,GREEN,precinct,WILLIAMS,CALHOUN,13,0
PRESIDENT,,SC,precinct,WILLIAMS,CALHOUN,13,0
U.S REPRESENTATIVE,5,DEM,precinct,WILLIAMS,CALHOUN,13,19
U.S REPRESENTATIVE,5,REP,precinct,WILLIAMS,CALHOUN,13,35
U.S REPRESENTATIVE,5,SC,precinct,WILLIAMS,CALHOUN,13,3
CONST. QUES,,YES,precinct,WILLIAMS,CALHOUN,13,17
CONST. QUES,,NO,precinct,WILLIAMS,CALHOUN,13,25
IOWA HOUSE,14,DEM,precinct,WILLIAMS,CALHOUN,13,29
IOWA HOUSE,14,REP,precinct,WILLIAMS,CALHOUN,13,29
IOWA HOUSE,80,DEM,precinct,ABS & SP BALLOTS HSE 80,CARROLL,14,723
IOWA HOUSE,80,REP,precinct,ABS & SP BALLOTS HSE 80,CARROLL,14,787
IOWA HOUSE,80,SC,precinct,ABS & SP BALLOTS HSE 80,CARROLL,14,3
IOWA SENATE,40,DEM,precinct,ABS & SP BALLOTS SEN 40,CARROLL,14,739
IOWA SENATE,40,REP,precinct,ABS & SP BALLOTS SEN 40,CARROLL,14,762
IOWA SENATE,40,SC,precinct,ABS & SP BALLOTS SEN 40,CARROLL,14,2
PRESIDENT,,DEM,precinct,ABSENTEE & SPECIAL BALLOTS,CARROLL,14,750
PRESIDENT,,REP,precinct,ABSENTEE & SPECIAL BALLOTS,CARROLL,14,791
PRESIDENT,,GREEN,precinct,ABSENTEE & SPECIAL BALLOTS,CARROLL,14,20
PRESIDENT,,SC,precinct,ABSENTEE & SPECIAL BALLOTS,CARROLL,14,13
U.S REPRESENTATIVE,5,DEM,precinct,ABSENTEE & SPECIAL BALLOTS,CARROLL,14,498
U.S REPRESENTATIVE,5,REP,precinct,ABSENTEE & SPECIAL BALLOTS,CARROLL,14,957
U.S REPRESENTATIVE,5,SC,precinct,ABSENTEE & SPECIAL BALLOTS,CARROLL,14,21
CONST. QUES,,YES,precinct,ABSENTEE & SPECIAL BALLOTS,CARROLL,14,309
CONST. QUES,,NO,precinct,ABSENTEE & SPECIAL BALLOTS,CARROLL,14,612
PRESIDENT,,DEM,precinct,ARCADIA,CARROLL,14,120
PRESIDENT,,REP,precinct,ARCADIA,CARROLL,14,121
PRESIDENT,,GREEN,precinct,ARCADIA,CARROLL,14,2
PRESIDENT,,SC,precinct,ARCADIA,CARROLL,14,4
U.S REPRESENTATIVE,5,DEM,precinct,ARCADIA,CARROLL,14,72
U.S REPRESENTATIVE,5,REP,precinct,ARCADIA,CARROLL,14,155
U.S REPRESENTATIVE,5,SC,precinct,ARCADIA,CARROLL,14,1
CONST. QUES,,YES,precinct,ARCADIA,CARROLL,14,74
CONST. QUES,,NO,precinct,ARCADIA,CARROLL,14,101
IOWA SENATE,40,DEM,precinct,ARCADIA,CARROLL,14,81
IOWA SENATE,40,REP,precinct,ARCADIA,CARROLL,14,160
IOWA SENATE,40,SC,precinct,ARCADIA,CARROLL,14,0
IOWA HOUSE,80,DEM,precinct,ARCADIA,CARROLL,14,141
IOWA HOUSE,80,REP,precinct,ARCADIA,CARROLL,14,105
IOWA HOUSE,80,SC,precinct,ARCADIA,CARROLL,14,0
PRESIDENT,,DEM,precinct,CARROLL 1,CARROLL,14,502
PRESIDENT,,REP,precinct,CARROLL 1,CARROLL,14,634
PRESIDENT,,GREEN,precinct,CARROLL 1,CARROLL,14,17
PRESIDENT,,SC,precinct,CARROLL 1,CARROLL,14,7
U.S REPRESENTATIVE,5,DEM,precinct,CARROLL 1,CARROLL,14,265
U.S REPRESENTATIVE,5,REP,precinct,CARROLL 1,CARROLL,14,807
U.S REPRESENTATIVE,5,SC,precinct,CARROLL 1,CARROLL,14,14
CONST. QUES,,YES,precinct,CARROLL 1,CARROLL,14,235
CONST. QUES,,NO,precinct,CARROLL 1,CARROLL,14,461
IOWA SENATE,40,DEM,precinct,CARROLL 1,CARROLL,14,364
IOWA SENATE,40,REP,precinct,CARROLL 1,CARROLL,14,756
IOWA SENATE,40,SC,precinct,CARROLL 1,CARROLL,14,1
IOWA HOUSE,80,DEM,precinct,CARROLL 1,CARROLL,14,416
IOWA HOUSE,80,REP,precinct,CARROLL 1,CARROLL,14,719
IOWA HOUSE,80,SC,precinct,CARROLL 1,CARROLL,14,1
PRESIDENT,,DEM,precinct,CARROLL 2,CARROLL,14,479
PRESIDENT,,REP,precinct,CARROLL 2,CARROLL,14,475
PRESIDENT,,GREEN,precinct,CARROLL 2,CARROLL,14,10
PRESIDENT,,SC,precinct,CARROLL 2,CARROLL,14,3
U.S REPRESENTATIVE,5,DEM,precinct,CARROLL 2,CARROLL,14,282
U.S REPRESENTATIVE,5,REP,precinct,CARROLL 2,CARROLL,14,630
U.S REPRESENTATIVE,5,SC,precinct,CARROLL 2,CARROLL,14,9
CONST. QUES,,YES,precinct,CARROLL 2,CARROLL,14,225
CONST. QUES,,NO,precinct,CARROLL 2,CARROLL,14,379
IOWA SENATE,40,DEM,precinct,CARROLL 2,CARROLL,14,346
IOWA SENATE,40,REP,precinct,CARROLL 2,CARROLL,14,600
IOWA SENATE,40,SC,precinct,CARROLL 2,CARROLL,14,1
IOWA HOUSE,80,DEM,precinct,CARROLL 2,CARROLL,14,438
IOWA HOUSE,80,REP,precinct,CARROLL 2,CARROLL,14,521
IOWA HOUSE,80,SC,precinct,CARROLL 2,CARROLL,14,0
PRESIDENT,,DEM,precinct,CARROLL 3,CARROLL,14,425
PRESIDENT,,REP,precinct,CARROLL 3,CARROLL,14,508
PRESIDENT,,GREEN,precinct,CARROLL 3,CARROLL,14,17
PRESIDENT,,SC,precinct,CARROLL 3,CARROLL,14,8
U.S REPRESENTATIVE,5,DEM,precinct,CARROLL 3,CARROLL,14,239
U.S REPRESENTATIVE,5,REP,precinct,CARROLL 3,CARROLL,14,645
U.S REPRESENTATIVE,5,SC,precinct,CARROLL 3,CARROLL,14,10
CONST. QUES,,YES,precinct,CARROLL 3,CARROLL,14,179
CONST. QUES,,NO,precinct,CARROLL 3,CARROLL,14,365
IOWA SENATE,40,DEM,precinct,CARROLL 3,CARROLL,14,316
IOWA SENATE,40,REP,precinct,CARROLL 3,CARROLL,14,612
IOWA SENATE,40,SC,precinct,CARROLL 3,CARROLL,14,3
IOWA HOUSE,80,DEM,precinct,CARROLL 3,CARROLL,14,410
IOWA HOUSE,80,REP,precinct,CARROLL 3,CARROLL,14,530
IOWA HOUSE,80,SC,precinct,CARROLL 3,CARROLL,14,0
PRESIDENT,,DEM,precinct,CARROLL 4,CARROLL,14,449
PRESIDENT,,REP,precinct,CARROLL 4,CARROLL,14,334
PRESIDENT,,GREEN,precinct,CARROLL 4,CARROLL,14,18
PRESIDENT,,SC,precinct,CARROLL 4,CARROLL,14,8
U.S REPRESENTATIVE,5,DEM,precinct,CARROLL 4,CARROLL,14,261
U.S REPRESENTATIVE,5,REP,precinct,CARROLL 4,CARROLL,14,499
U.S REPRESENTATIVE,5,SC,precinct,CARROLL 4,CARROLL,14,10
CONST. QUES,,YES,precinct,CARROLL 4,CARROLL,14,163
CONST. QUES,,NO,precinct,CARROLL 4,CARROLL,14,294
IOWA SENATE,40,DEM,precinct,CARROLL 4,CARROLL,14,329
IOWA SENATE,40,REP,precinct,CARROLL 4,CARROLL,14,463
IOWA SENATE,40,SC,precinct,CARROLL 4,CARROLL,14,0
IOWA HOUSE,80,DEM,precinct,CARROLL 4,CARROLL,14,396
IOWA HOUSE,80,REP,precinct,CARROLL 4,CARROLL,14,403
IOWA HOUSE,80,SC,precinct,CARROLL 4,CARROLL,14,2
PRESIDENT,,DEM,precinct,EDEN,CARROLL,14,145
PRESIDENT,,REP,precinct,EDEN,CARROLL,14,127
PRESIDENT,,GREEN,precinct,EDEN,CARROLL,14,4
PRESIDENT,,SC,precinct,EDEN,CARROLL,14,6
U.S REPRESENTATIVE,5,DEM,precinct,EDEN,CARROLL,14,83
U.S REPRESENTATIVE,5,REP,precinct,EDEN,CARROLL,14,169
U.S REPRESENTATIVE,5,SC,precinct,EDEN,CARROLL,14,4
CONST. QUES,,YES,precinct,EDEN,CARROLL,14,56
CONST. QUES,,NO,precinct,EDEN,CARROLL,14,96
IOWA SENATE,40,DEM,precinct,EDEN,CARROLL,14,133
IOWA SENATE,40,REP,precinct,EDEN,CARROLL,14,145
IOWA SENATE,40,SC,precinct,EDEN,CARROLL,14,0
IOWA HOUSE,80,DEM,precinct,EDEN,CARROLL,14,171
IOWA HOUSE,80,REP,precinct,EDEN,CARROLL,14,107
IOWA HOUSE,80,SC,precinct,EDEN,CARROLL,14,1
PRESIDENT,,DEM,precinct,EWOLDT,CARROLL,14,300
PRESIDENT,,REP,precinct,EWOLDT,CARROLL,14,346
PRESIDENT,,GREEN,precinct,EWOLDT,CARROLL,14,18
PRESIDENT,,SC,precinct,EWOLDT,CARROLL,14,4
U.S REPRESENTATIVE,5,DEM,precinct,EWOLDT,CARROLL,14,202
U.S REPRESENTATIVE,5,REP,precinct,EWOLDT,CARROLL,14,410
U.S REPRESENTATIVE,5,SC,precinct,EWOLDT,CARROLL,14,11
CONST. QUES,,YES,precinct,EWOLDT,CARROLL,14,133
CONST. QUES,,NO,precinct,EWOLDT,CARROLL,14,285
IOWA SENATE,40,DEM,precinct,EWOLDT,CARROLL,14,423
IOWA SENATE,40,REP,precinct,EWOLDT,CARROLL,14,249
IOWA SENATE,40,SC,precinct,EWOLDT,CARROLL,14,0
IOWA HOUSE,80,DEM,precinct,EWOLDT,CARROLL,14,358
IOWA HOUSE,80,REP,precinct,EWOLDT,CARROLL,14,307
IOWA HOUSE,80,SC,precinct,EWOLDT,CARROLL,14,0
PRESIDENT,,DEM,precinct,GLIDDEN,CARROLL,14,264
PRESIDENT,,REP,precinct,GLIDDEN,CARROLL,14,308
PRESIDENT,,GREEN,precinct,GLIDDEN,CARROLL,14,5
PRESIDENT,,SC,precinct,GLIDDEN,CARROLL,14,7
U.S REPRESENTATIVE,5,DEM,precinct,GLIDDEN,CARROLL,14,145
U.S REPRESENTATIVE,5,REP,precinct,GLIDDEN,CARROLL,14,396
U.S REPRESENTATIVE,5,SC,precinct,GLIDDEN,CARROLL,14,13
CONST. QUES,,YES,precinct,GLIDDEN,CARROLL,14,122
CONST. QUES,,NO,precinct,GLIDDEN,CARROLL,14,246
IOWA SENATE,40,DEM,precinct,GLIDDEN,CARROLL,14,200
IOWA SENATE,40,REP,precinct,GLIDDEN,CARROLL,14,373
IOWA SENATE,40,SC,precinct,GLIDDEN,CARROLL,14,0
IOWA HOUSE,80,DEM,precinct,GLIDDEN,CARROLL,14,236
IOWA HOUSE,80,REP,precinct,GLIDDEN,CARROLL,14,342
IOWA HOUSE,80,SC,precinct,GLIDDEN,CARROLL,14,0
PRESIDENT,,DEM,precinct,JASPER,CARROLL,14,57
PRESIDENT,,REP,precinct,JASPER,CARROLL,14,62
PRESIDENT,,GREEN,precinct,JASPER,CARROLL,14,4
PRESIDENT,,SC,precinct,JASPER,CARROLL,14,1
U.S REPRESENTATIVE,5,DEM,precinct,JASPER,CARROLL,14,36
U.S REPRESENTATIVE,5,REP,precinct,JASPER,CARROLL,14,78
U.S REPRESENTATIVE,5,SC,precinct,JASPER,CARROLL,14,2
CONST. QUES,,YES,precinct,JASPER,CARROLL,14,20
CONST. QUES,,NO,precinct,JASPER,CARROLL,14,51
IOWA SENATE,40,DEM,precinct,JASPER,CARROLL,14,42
IOWA SENATE,40,REP,precinct,JASPER,CARROLL,14,76
IOWA SENATE,40,SC,precinct,JASPER,CARROLL,14,0
IOWA HOUSE,80,DEM,precinct,JASPER,CARROLL,14,54
IOWA HOUSE,80,REP,precinct,JASPER,CARROLL,14,64
IOWA HOUSE,80,SC,precinct,JASPER,CARROLL,14,0
PRESIDENT,,DEM,precinct,NEWTON,CARROLL,14,111
PRESIDENT,,REP,precinct,NEWTON,CARROLL,14,93
